"id_location","location_name","location_street","location_housenumber","location_houseletter","longitude","latitude","location_notes","location_photo","location_history","location_namecurrent","location_nameformer"
11,"Weaver Bottoms","North 1600 Rd.",NULL,"","-95.067786","38.976647","-Northeastern corner of Douglas County
-Topeka and Santa Fe Railroads ran through the area
-Weaver Bottom is located around North 1600 Road, just south of a bend in the Kaw River. The train tracks that run through this area can be crossed by driving along County Line Road.","","-Cut off from the world by a loop in the Kaw River
-Once home to a small settlement called Weaver
-Consistent flooding led to the area being closed off by the U.S. Army Corps of Engineers except to farmers","","Weaver Hamlet"
12,"Stull Cemetery","N 1600 Rd.",256,"","-96.453736","38.971659","-Legends are pretty much all fake, but caught the attention of the grunge scene and people intrigued by the occult
-""Gateway to Hell""","","-Settlement founded in 1856 by mostly Germans and was known as Deer Creek
-Post office opened by Silvester Stull
-Named after Stull in 1899
-Small limestone chapel on Emmanuel Hill (Evangelical Emmanuel Church) 1867-1922
Cemetery founded in 1869 and named “Stull Cemetery” in 1946
-100 years worth of folk stories
-Accusations of witchcraft post death due to an old tree defacing some people’s graves
Claims came from KU newspaper University Daily Kansan in 1974 that the devil appeared in the graveyard during Halloween and the spring equinox - story was exaggerated in KU 
-Demolished on March 29, 2002","",""
13,"Northwestern Bridge","",NULL,"","-95.233942","38.974995","https://www.kancoll.org/books/rowe/bridges.htm; https://lawrencebusinessmagazine.com/wp-content/themes/starkers-theme/images/2020-Q4/history/history-04.jpg","history-04.jpg","Used to cross the Kaw river and join Lawrence to the Weaver settlement. Lizzie Madden fell to her death from this bridge - foul play suspected.
-The Lawrence Bridge Company was chartered by an act of the Territorial Legislature to construct a bridge connecting North and South Lawrence across the Kaw river in 1859
-During construction, Quantrill's raid of 1863 killed seven laborers and a subcontractor - causing stockholders of the Lawrence Bridge Company to loose properties and money
- In December of 1863, the bridge was finished, and it opened for travel at the beginning of 1864
- The bridge was a toll bridge and the only bridge crossing the Kaw for several years, so it was a lucrative investment
- In 1897, the State Supreme Court ruled that the charter of the Lawrence Bridge Company was annulled and placed the property into the control of the state
- Several disasters assaulted the bridge over the following decades, causing it to deteriorate beyond use by 1913
- A new bridge was built in January of 1917, and the old Northwestern Bridge was demolished","",""
14,"The Priestly House","1505 Kentucky Street",NULL,"","-95.238607271164","38.956874245573296","","1505KentuckySt.jpg","","",""
15,"Pete Vinegar Lynching Site","",NULL,"","-95.236271","38.974127","","","","",""
17,"The Vaughn House","",NULL,"","-95.186728","38.775859","Unable to find exact house. Pin has been placed based on book description as being situated in the middle of Baldwin City.","","","",""
18,"Merchant's National Bank","746 Massachusetts St",746,"","-95.23568321286004","38.96956283329048","","746MassSt.jpg","","Merchant's Pub & Plate","Merchant's National Bank"
19,"The Eldridge Hotel","Massachusetts St",701,"","-95.23628177910959","38.97105835046039","","701MassSt.jpg","","The Eldridge Hotel","The Eldridge Hotel"
20,"Kennedy Elementary School","",NULL,"","-95.2156257996764","38.947180762428765","","","","Kennedy Elementary School","Kennedy Elementary School"
21,"Cordley Elementary School","",NULL,"","-95.23740121496853","38.9506716225889","","1837VermontSt_Cordley.jpg","","",""
22,"Stubbs Mansion","",NULL,"","-95.25404363124473","38.96509029990923","Sigma Nu, 1501 Sigma Nu Pl, Lawrence, KS 66044","1501SigmaNuPl.jpg","","",""
23,"The Kenneth Spencer Research Library","",NULL,"","-95.24764805929561","38.95881654607648","","","","",""
24,"Rhode Island Street","",NULL,"","-95.23354678275422","38.97173210984641","","","","",""
25,"McAllaster House","724 Rhode Island Street",NULL,"","-95.23331182388371","38.97027881157064","","724RhodeIslandSt.jpg","","",""
26,"Fuller-Woodward House","Tennessee St",615,"","-95.23973617602148","38.97254967731815","","615TennesseeSt.jpg","","",""
27,"Old Castle Museum","5th St",511,"","-95.18488398835846","38.77764037808148","","","","",""
28,"Rice Auditorium","",NULL,"","-95.18836017781027","38.778878805631926","","","","",""
